city,country,lat,lon,altitude_category,climate_vibe,travel_burden,crowd_energy,heat_impact,altitude_impact,description
Atlanta,USA,33.755,-84.39,Low,Hot & Humid,3,88,8,1,"Southern heat and passionate crowds at Mercedes-Benz Stadium. Expect intense atmosphere and summer heat."
Boston,USA,42.366,-71.062,Low,Temperate,2,85,3,1,"Historic city with a sports-mad fanbase. Cooler temperatures favor European-style teams."
Dallas,USA,32.748,-96.808,Low,Hot & Dry,3,87,9,1,"Texas heat can be brutal in June. Open-air venue adds weather complexity."
Houston,USA,29.685,-95.411,Low,Hot & Humid,3,86,9,1,"Extreme humidity and heat. NRG Stadium hosts intense southern US energy."
Kansas City,USA,39.048,-94.484,Low,Variable,2,82,6,1,"Midwest passion meets World Cup fever. Arrowhead Stadium's crowd noise is legendary."
Los Angeles,USA,34.016,-118.287,Low,Sunny & Warm,2,90,5,1,"SoFi Stadium in the entertainment capital. Global fanbase, perfect California weather."
Miami,USA,25.958,-80.239,Low,Tropical,3,89,8,1,"Hard Rock Stadium brings Caribbean energy to World Cup. Heat and humidity are real factors."
New York/New Jersey,USA,40.814,-74.075,Low,Variable,2,92,4,1,"MetLife Stadium hosts the Final. Massive global diaspora crowd. Biggest stage on earth."
Philadelphia,USA,39.9,-75.168,Low,Temperate,2,84,5,1,"Passionate sports city. Lincoln Financial Field offers solid atmosphere."
San Francisco Bay Area,USA,37.403,-121.97,Low,Cool & Mild,2,86,2,1,"Levi's Stadium in Santa Clara. Bay Area weather is reliably mild and comfortable."
Seattle,USA,47.595,-122.332,Low,Cool & Rainy,2,87,2,1,"Lumen Field known for deafening crowd noise. Pacific Northwest weather keeps temps down."
Guadalajara,Mexico,20.679,-103.313,Medium,Warm,4,85,6,5,"High energy Mexican crowd. Altitude at 1,500m is a factor for European teams."
Mexico City,Mexico,19.303,-99.151,High,Mild,4,91,3,10,"Estadio Azteca is legendary. 2,240m altitude will punish sea-level teams in the final minutes."
Monterrey,Mexico,25.672,-100.379,Low,Hot,4,84,8,2,"Northern Mexico heat and passionate local crowd. Lower altitude than CDMX."
Toronto,Canada,43.633,-79.419,Low,Variable,3,86,4,1,"BMO Field hosts Canada's home crowd. Expect passionate Canadian supporters."
Vancouver,Canada,49.277,-123.112,Low,Mild & Rainy,3,84,2,1,"BC Place stadium with a roof. Mild Pacific climate. Canada's most scenic World Cup city."
